season,raceId,driverId,constructorId,number,grid,position,positionText,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId
2021,British Grand Prix,max_verstappen,red_bull,33,2,1,1,3,17,25:38.426,1538426,14,25:38.426,Finished
2021,British Grand Prix,hamilton,mercedes,44,1,2,2,2,17,+1.430,1539856,17,+1.430,Finished
2021,British Grand Prix,bottas,mercedes,77,3,3,3,1,17,+7.502,1545928,17,+7.502,Finished
2021,British Grand Prix,leclerc,ferrari,16,4,4,4,0,17,+11.278,1549704,16,+11.278,Finished
2021,British Grand Prix,norris,mclaren,4,6,5,5,0,17,+24.111,1562537,16,+24.111,Finished
2021,British Grand Prix,ricciardo,mclaren,3,7,6,6,0,17,+30.959,1569385,17,+30.959,Finished
2021,British Grand Prix,alonso,alpine,14,11,7,7,0,17,+43.527,1581953,17,+43.527,Finished
2021,British Grand Prix,vettel,aston_martin,5,10,8,8,0,17,+44.439,1582865,17,+44.439,Finished
2021,British Grand Prix,russell,williams,63,8,9,9,0,17,+46.652,1585078,17,+46.652,Finished
2021,British Grand Prix,ocon,alpine,31,13,10,10,0,17,+47.395,1585821,16,+47.395,Finished
2021,British Grand Prix,sainz,ferrari,55,9,11,11,0,17,+47.798,1586224,10,+47.798,Finished
2021,British Grand Prix,gasly,alphatauri,10,12,12,12,0,17,+48.763,1587189,17,+48.763,Finished
2021,British Grand Prix,raikkonen,alfa,7,17,13,13,0,17,+50.677,1589103,12,+50.677,Finished
2021,British Grand Prix,stroll,aston_martin,18,15,14,14,0,17,+52.179,1590605,12,+52.179,Finished
2021,British Grand Prix,giovinazzi,alfa,99,14,15,15,0,17,+53.225,1591651,14,+53.225,Finished
2021,British Grand Prix,tsunoda,alphatauri,22,16,16,16,0,17,+53.567,1591993,14,+53.567,Finished
2021,British Grand Prix,latifi,williams,6,18,17,17,0,17,+55.162,1593588,17,+55.162,Finished
2021,British Grand Prix,mick_schumacher,haas,47,19,18,18,0,17,+1:08.213,1606639,15,+1:08.213,Finished
2021,British Grand Prix,mazepin,haas,9,20,19,19,0,17,+1:17.648,1616074,3,+1:17.648,Finished
2021,British Grand Prix,perez,red_bull,11,5,20,R,0,16,,,6,,Vibrations
2021,Italian Grand Prix,bottas,mercedes,77,1,1,1,3,18,27:54.078,1674078,9,27:54.078,Finished
2021,Italian Grand Prix,max_verstappen,red_bull,33,3,2,2,2,18,+2.325,1676403,9,+2.325,Finished
2021,Italian Grand Prix,ricciardo,mclaren,3,5,3,3,1,18,+14.534,1688612,17,+14.534,Finished
2021,Italian Grand Prix,norris,mclaren,4,4,4,4,0,18,+18.835,1692913,9,+18.835,Finished
2021,Italian Grand Prix,hamilton,mercedes,44,2,5,5,0,18,+20.011,1694089,9,+20.011,Finished
2021,Italian Grand Prix,leclerc,ferrari,16,8,6,6,0,18,+23.442,1697520,18,+23.442,Finished
2021,Italian Grand Prix,sainz,ferrari,55,7,7,7,0,18,+27.952,1702030,8,+27.952,Finished
